Sgnyea,Prvcnm,Gdp,Gdp1,Gdp2,Gdp3
1985,广西壮族自治区,180.97,77.49,54.69,48.79
1984,广西壮族自治区,150.27,66.26,43.26,40.75
1983,广西壮族自治区,134.6,63.59,37.09,33.92
1982,广西壮族自治区,129.15,63.15,34.72,31.28
1981,广西壮族自治区,113.46,52.58,33.01,27.87
1980,广西壮族自治区,97.33,44.07,30.79,22.47
1979,广西壮族自治区,84.59,37.57,27.98,19.04
1978,广西壮族自治区,75.85,31.01,25.81,19.03
1977,广西壮族自治区,68.75,30.18,24.41,14.16
1976,广西壮族自治区,67.32,29.74,23.56,14.02
1975,广西壮族自治区,67.02,30.36,22.72,13.94
1974,广西壮族自治区,62.27,28.55,19.78,13.94
1973,广西壮族自治区,58.53,27.72,18.32,12.49
1972,广西壮族自治区,53.47,25.57,16.01,11.89
1971,广西壮族自治区,45.75,21.6,14.56,9.59
1970,广西壮族自治区,39.36,19.27,11.47,8.62
1969,广西壮族自治区,35.22,18.52,9.14,7.56
1968,广西壮族自治区,28.46,17.37,5.11,5.98
1967,广西壮族自治区,31.18,17.51,6.96,6.71
1966,广西壮族自治区,31.68,16.5,8.73,6.45
1965,广西壮族自治区,31.45,17.13,8.46,5.86
1964,广西壮族自治区,27.18,14.4,7.09,5.69
1963,广西壮族自治区,24.49,12.13,6.87,5.49
1962,广西壮族自治区,23.82,12.44,6.08,5.3
1961,广西壮族自治区,23.79,10.46,7.51,5.82
1960,广西壮族自治区,26.15,10.63,8.39,7.13
1959,广西壮族自治区,26.75,11.68,8.88,6.19
1958,广西壮族自治区,24.52,12.71,6.79,5.02
1957,广西壮族自治区,21.57,11.45,5.54,4.58
1956,广西壮族自治区,19.51,10.63,4.97,3.91
1955,广西壮族自治区,17.43,9.96,4.47,3
1954,广西壮族自治区,16.21,9.6,4.13,2.48
1953,广西壮族自治区,14.24,8.71,3.48,2.05
1952,广西壮族自治区,12.81,8.34,2.95,1.52
2013,贵州省,8006.79,1029.05,3243.7,3734.04
2012,贵州省,6852.2,891.91,2677.54,3282.75
2011,贵州省,5701.84,726.22,2194.33,2781.29
2010,贵州省,4602.16,625.03,1800.06,2177.07
2009,贵州省,3912.68,550.27,1476.62,1885.79
2008,贵州省,3561.56,547.85,1408.71,1376.84
2007,贵州省,2884.11,446.38,1148.27,1147.25
2006,贵州省,2338.98,393.17,980.78,908.05
2005,贵州省,2005.42,368.94,826.63,783.49
2004,贵州省,1677.8,334.11,714.66,543.13
2003,贵州省,1426.34,298.37,579.31,478.43
2002,贵州省,1243.43,280.83,474.68,429.53
2001,贵州省,1133.27,274.17,419.74,390.99
2000,贵州省,993.53,270.99,387.85,334.69
1999,贵州省,911.86,267.57,348.59,295.7
1998,贵州省,841.88,264.89,326.03,250.96
1997,贵州省,792.98,271.83,293.47,227.68
1996,贵州省,713.7,260.56,257.82,201.45
1995,贵州省,630.07,227.13,232.52,176.56
1994,贵州省,521.17,183.52,195.76,141.89
1993,贵州省,416.07,133.41,155.03,129.25
1992,贵州省,339.91,121.18,122.08,96.65
1991,贵州省,295.9,115.71,101.54,78.65
1990,贵州省,260.14,100.1,92.83,67.21
1989,贵州省,235.84,92.88,86.74,56.22
1988,贵州省,211.79,85.2,78.63,47.96
1987,贵州省,165.5,66.46,60.11,38.93
1986,贵州省,139.57,56.46,50.96,32.15
1985,贵州省,123.92,50.45,49.88,23.59
1984,贵州省,108.27,45.73,43.51,19.03
1983,贵州省,87.38,37.76,33.14,16.48
1982,贵州省,79.39,37.37,27.44,14.58
1981,贵州省,67.89,29.9,24.95,13.04
1980,贵州省,60.26,24.86,24,11.4
1979,贵州省,55.28,23.29,22.41,9.58
1978,贵州省,46.62,19.42,18.73,8.47
1977,贵州省,37.72,18.07,13.5,6.15
1976,贵州省,29.3,16.94,8,4.36
1975,贵州省,31.1,16.16,9.46,5.48
1974,贵州省,24.48,14.52,5.79,4.17
1973,贵州省,28.39,15.62,8.2,4.57
1972,贵州省,29.62,13.55,11.9,4.17
1971,贵州省,32.29,15.93,12.06,4.3
1970,贵州省,28.36,15.15,9.56,3.65
1969,贵州省,21.12,13.82,4.33,2.97
1968,贵州省,21.38,14.16,4.2,3.02
1967,贵州省,23.99,15.91,4.66,3.42
1966,贵州省,24.78,14.9,6.04,3.84
1965,贵州省,24.41,15.25,5.63,3.53
1964,贵州省,19.75,13.07,3.74,2.94
1963,贵州省,16.8,11.13,2.97,2.7
1962,贵州省,16.52,11.01,2.93,2.58
1961,贵州省,18.05,9.19,5.17,3.69
1960,贵州省,22.94,8.6,9.49,4.85
1959,贵州省,23.51,10.05,9.01,4.45
1958,贵州省,20.36,10.5,6.02,3.84
1957,贵州省,16.3,9.73,3.49,3.08
1956,贵州省,14.65,8.87,3.25,2.53
1955,贵州省,11.61,7.28,2.35,1.98
1954,贵州省,11.14,7.19,2.19,1.76
1953,贵州省,10.01,6.47,1.97,1.57
1952,贵州省,8.55,5.85,1.59,1.11
2013,重庆市,12656.69,1016.74,6397.92,5242.03
2012,重庆市,11409.6,940.01,5975.18,4494.41
2011,重庆市,10011.37,844.52,5543.04,3623.81
2010,重庆市,7925.58,685.38,4359.12,2881.08
2009,重庆市,6530.01,606.8,3448.77,2474.44
2008,重庆市,5793.66,575.4,2433.27,2087.99
2007,重庆市,4676.13,482.39,1892.1,1748.02
2006,重庆市,3907.23,425.81,1500.97,1564.79
2005,重庆市,3467.72,463.4,1259.12,1347.97
2004,重庆市,2692.81,431.32,1181.24,1052.83
2003,重庆市,2272.82,336.36,977.3,936.9
2002,重庆市,1990.01,315.78,827.55,827.97
2001,重庆市,1765.68,293.03,727.66,729.08
2000,重庆市,1589.34,283,657.51,648.83
1999,重庆市,1479.71,284.28,604.39,591.04
1998,重庆市,1429.26,298.67,585.38,545.21
1997,重庆市,1350.1,304.51,563.4,482.19
1996,重庆市,1179.09,287.56,474.31,425.6
1995,重庆市,1016.25,264.19,412.28,339.78
1994,重庆市,725.14,,,
1993,重庆市,608.53,141.99,229.53,181.53
1992,重庆市,461.32,117.28,164.58,138.32
1991,重庆市,374.18,109.49,130.88,101.18
1990,重庆市,327.75,100.4,115.71,83.71
1989,重庆市,278.47,81.99,116.35,80.13
1988,重庆市,240.05,75,101.13,63.92
1987,重庆市,190.35,62.69,78.35,49.31
1986,重庆市,170.34,60.06,70.52,39.76
1985,重庆市,151.96,53.73,63.93,34.3
1984,重庆市,131.27,50.66,52.95,27.66
1983,重庆市,111.46,45.44,44.33,21.69
1982,重庆市,100.6,40.62,41.49,18.49
1981,重庆市,90.67,36.32,38.6,15.75
1980,重庆市,84.77,32.57,37.62,14.58
1979,重庆市,75.87,28.79,34.02,13.06
1978,重庆市,66.37,23.93,28.19,14.25
1977,重庆市,52.41,21.31,19.8,11.3
1976,重庆市,46.92,18.87,17.37,10.68
1975,重庆市,46.48,19.43,17.81,9.24
1974,重庆市,45.16,19.34,16.66,9.16
1973,重庆市,43.64,18.56,16.12,8.96
1972,重庆市,44.5,20.23,14.74,9.53
1971,重庆市,41.03,18.43,12.85,9.75
1970,重庆市,34.7,15.34,10.64,8.72
1969,重庆市,31.12,14.64,8.71,7.77
1968,重庆市,26.06,13.3,5.86,6.9
1967,重庆市,29.25,13.82,8.04,7.39
1966,重庆市,32.13,15.16,9.62,7.35
1965,重庆市,28.81,13.48,8.31,7.02
1964,重庆市,25.95,11.88,6.92,7.15
1963,重庆市,23.6,11.42,5.38,6.8
1962,重庆市,22.12,10.26,5.12,6.74
1961,重庆市,23.25,9.83,6.41,7.01
1960,重庆市,29.58,9.14,12.01,8.43
1959,重庆市,29.22,11.07,10.14,8.01
1958,重庆市,24.39,11.22,7.23,5.94
1957,重庆市,22.03,12.31,5.2,4.52
1956,重庆市,20.81,11.29,5.68,3.84
1955,重庆市,16.45,9.62,3.49,3.34
1954,重庆市,14.86,8.82,3.17,2.87
1953,重庆市,14.38,8.89,3.16,2.33
1952,重庆市,12.73,8.39,2.42,1.92
2013,北京市,19500.56,161.83,4352.3,14986.43
2012,北京市,17879.4,150.2,4059.27,13669.93
2011,北京市,16251.93,136.27,3752.48,12363.18
2010,北京市,14113.58,124.36,3388.38,10600.84
2009,北京市,12153.03,118.29,2855.55,9179.19
2008,北京市,11115,112.81,2693.15,7682.07
2007,北京市,9846.81,101.26,2509.4,6742.66
2006,北京市,8117.78,98.04,2191.43,5580.81
2005,北京市,6969.52,97.99,2026.51,4761.81
2004,北京市,6060.28,102.9,1610.37,2570.04
2003,北京市,5023.77,95.64,1311.86,2255.6
2002,北京市,4330.4,98.05,1116.53,1998.13
2001,北京市,3710.52,93.08,1030.6,1721.97
2000,北京市,2478.76,89.97,943.51,1445.28
1999,北京市,2174.46,87.48,840.23,1246.75
1998,北京市,2011.31,86.56,786.85,1137.9
1997,北京市,1810.09,84.85,738.56,986.68
1996,北京市,1615.73,83.46,683.14,849.13
1995,北京市,1394.89,72.16,645.81,789.72
1994,北京市,1084.03,74.77,499.84,509.42
1993,北京市,863.54,53.14,419.56,413.51
1992,北京市,709.1,48.67,345.91,314.52
1991,北京市,598.9,45.52,291.53,261.84
1990,北京市,500.82,43.88,262.39,194.55
1989,北京市,455.96,38.53,252.23,165.2
1988,北京市,410.22,37.07,221.27,151.88
1987,北京市,326.82,24.31,182.59,119.92
1986,北京市,284.86,19.14,165.75,99.97
1985,北京市,257.12,17.81,153.66,85.65
1984,北京市,216.61,14.85,130.68,71.08
1983,北京市,183.13,12.85,112.65,57.63
1982,北京市,154.94,10.34,99.79,44.81
1981,北京市,139.15,6.61,92.52,40.02
1980,北京市,139.07,6.07,95.79,37.21
1979,北京市,120.11,5.17,85.18,29.76
1978,北京市,108.84,5.63,77.43,25.78
1977,北京市,99.09,5.17,67.26,26.66
1976,北京市,93.84,5.58,63.59,24.67
1975,北京市,91.25,6.04,60.5,24.71
1974,北京市,80.19,5.6,56.38,18.21
1973,北京市,73.03,6.03,50.45,16.55
1972,北京市,67.19,5.37,47.01,14.81
1971,北京市,61.14,6.28,41.91,12.95
1970,北京市,63.37,6.48,45.06,11.83
1969,北京市,50.63,4.71,33.6,12.32
1968,北京市,37.82,5.48,22.13,10.21
1967,北京市,37.86,5.3,22.37,10.19
1966,北京市,44.41,5.24,28.41,10.76
1965,北京市,39.79,4.96,23.5,11.33
1964,北京市,35.99,4.83,20.96,10.2
1963,北京市,31.72,4.12,18.23,9.37
1962,北京市,29.59,3.74,16.3,9.55
1961,北京市,36.55,3.74,20.42,12.39
1960,北京市,57.47,4.01,37.03,16.43
1959,北京市,46.28,3.96,28.69,13.63
1958,北京市,34.52,3.93,20.35,10.24
1957,北京市,32.81,3.49,15.68,13.64
1956,北京市,26.83,3.32,11.39,12.12
1955,北京市,23.88,3.44,10.07,10.37
1954,北京市,21.13,3.01,9.31,8.81
1953,北京市,19.28,3.37,7.85,8.06
1952,北京市,7.88,1.75,3.05,3.08
2013,福建省,21759.64,1936.31,11315.3,8508.03
2012,福建省,19701.78,1776.71,10187.94,7737.13
2011,福建省,17560.18,1612.24,9069.2,6878.74
2010,福建省,14737.12,1363.67,7522.83,5850.62
2009,福建省,12236.53,1182.74,6005.3,5048.49
2008,福建省,10823.01,1157.75,5415.77,4249.59
2007,福建省,9248.53,1002.11,4549.42,3697.6
2006,福建省,7583.85,896.17,3743.71,2974.67
2005,福建省,6554.69,841.2,3200.26,2527.47
2004,福建省,5763.35,777.87,2950.33,2324.94
2003,福建省,4983.67,692.94,2492.73,2046.5
2002,福建省,4467.55,664.78,2159.94,1857.29
2001,福建省,4072.85,651.11,1904.21,1698.36
2000,福建省,3920.07,640.57,1711.16,1568.34
1999,福建省,3550.24,628.86,1507.29,1414.09
1998,福建省,3286.56,610.04,1444.73,1275.41
1997,福建省,3000.36,576.63,1293.5,1130.23
1996,福建省,2583.83,560.47,1089.57,956.88
1995,福建省,2160.52,464.82,882.34,747.74
1994,福建省,1685.34,372.58,739.52,573.24
1993,福建省,1133.49,254.36,455.79,404.05
1992,福建省,787.71,194.87,291.6,298.21
1991,福建省,619.87,168.64,217.74,233.49
1990,福建省,522.28,147.01,174.47,200.8
1989,福建省,458.4,135.77,163.82,158.81
1988,福建省,383.21,118.16,141.82,123.23
1987,福建省,279.24,89.24,101.28,88.72
1986,福建省,222.54,72.24,82.19,68.11
1985,福建省,200.48,68.13,72.56,59.79
1984,福建省,157.06,55.72,56.39,44.95
1983,福建省,127.76,47.27,46.05,34.44
1982,福建省,117.81,44.24,42.92,30.65
1981,福建省,105.62,39.3,39.75,26.57
1980,福建省,87.06,31.95,35.68,19.43
1979,福建省,74.11,27.97,31.37,14.77
1978,福建省,66.37,23.93,28.19,14.25
1977,福建省,52.41,21.31,19.8,11.3
1976,福建省,46.92,18.87,17.37,10.68
1975,福建省,46.48,19.43,17.81,9.24
1974,福建省,45.16,19.34,16.66,9.16
1973,福建省,43.64,18.56,16.12,8.96
1972,福建省,44.5,20.23,14.74,9.53
1971,福建省,41.03,18.43,12.85,9.75
1970,福建省,34.7,15.34,10.64,8.72
1969,福建省,31.12,14.64,8.71,7.77
1968,福建省,26.06,13.3,5.86,6.9
1967,福建省,29.25,13.82,8.04,7.39
1966,福建省,32.13,15.16,9.62,7.35
1965,福建省,28.81,13.48,8.31,7.02
1964,福建省,25.95,11.88,6.92,7.15
1963,福建省,23.6,11.42,5.38,6.8
1962,福建省,22.12,10.26,5.12,6.74
1961,福建省,23.25,9.83,6.41,7.01
1960,福建省,29.58,9.14,12.01,8.43
1959,福建省,29.22,11.07,10.14,8.01
1958,福建省,24.39,11.22,7.23,5.94
1957,福建省,22.03,12.31,5.2,4.52
1956,福建省,20.81,11.29,5.68,3.84
1955,福建省,16.45,9.62,3.49,3.34
1954,福建省,14.86,8.82,3.17,2.87
1953,福建省,14.38,8.89,3.16,2.33
1952,福建省,12.73,8.39,2.42,1.92
2013,安徽省,19038.87,2348.09,10403.96,6286.82
2012,安徽省,17212.05,2178.73,9404.84,5628.48
2011,安徽省,15300.65,2015.31,8309.38,4975.95
2010,安徽省,12359.33,1729.02,6436.62,4193.68
2009,安徽省,10062.82,1495.45,4905.22,3662.15
2008,安徽省,8851.66,1418.08,4137.35,3318.74
2007,安徽省,7360.92,1200.18,3289.12,2874.88
2006,安徽省,6112.5,1028.66,2648.13,2471.94
2005,安徽省,5350.17,966.49,2221.17,2187.46
2004,安徽省,4759.32,932.42,2169.82,1710.44
2003,安徽省,3923.1,732.81,1780.6,1458.97
2002,安徽省,3519.7195,772.55,1552.21,1244.34
2001,安徽省,3246.7146,750.07,1415.32,1124.74
2000,安徽省,3038.2359,732.19,1296.312,1009.7339
1999,安徽省,2908.58,741.1427,1278.91,888.54
1998,安徽省,2805.45,739.7,1253.53,812.22
1997,安徽省,2669.95,732.37,1260.9,676.68
1996,安徽省,2339.25,665.44,1097.37,576.44
1995,安徽省,2003.58,584.12,660.09,566.45
1994,安徽省,1488.47,336.72,744.16,407.59
1993,安徽省,1069.84,286,444.97,306.17
1992,安徽省,801.16,230.5,333,237.7
1991,安徽省,663.6,190.5,280.3,192.8
1990,安徽省,658,246.1,251.5,160.4
1989,安徽省,616.25,225.39,227.85,163.01
1988,安徽省,546.94,210.53,200.95,135.46
1987,安徽省,442.35,176.35,157.74,108.26
1986,安徽省,382.76,155.91,137.57,89.28
1985,安徽省,331.24,140.97,117.84,72.43
1984,安徽省,265.74,116.26,92.83,56.65
1983,安徽省,215.68,96.55,73.2,45.93
1982,安徽省,187.02,89.97,59.66,37.39
1981,安徽省,170.51,88.44,52.48,29.59
1980,安徽省,140.88,64.68,50.06,26.14
1979,安徽省,127.31,61.16,44.76,21.39
1978,安徽省,113.96,53.77,40.51,19.68
1977,安徽省,108.01,52.88,34.64,20.49
1976,安徽省,105.77,55.27,31.39,19.11
1975,安徽省,97.01,50.03,29.11,17.87
1974,安徽省,91.44,50.31,25.85,15.28
1973,安徽省,92.18,49,28.33,14.85
1972,安徽省,85.88,45.98,25.97,13.93
1971,安徽省,79.99,42.56,24.81,12.62
1970,安徽省,71.79,40.08,20.52,11.19
1969,安徽省,58.09,32.39,15.7,10
1968,安徽省,56.09,35.17,11.28,9.64
1967,安徽省,56.88,34.21,12.11,10.56
1966,安徽省,59.82,32.13,17.08,10.61
1965,安徽省,52.75,28.09,14.56,10.1
1964,安徽省,44.97,23.64,11.32,10.01
1963,安徽省,40.81,22.79,8.68,9.34
1962,安徽省,39.47,22.68,7.91,8.88
1961,安徽省,43.65,22.96,11.15,9.54
1960,安徽省,59.76,25.6,23,11.16
1959,安徽省,57.97,27.45,19.71,10.81
1958,安徽省,51.31,29.41,13.55,8.35
1957,安徽省,41.37,28.06,6.38,6.93
1956,安徽省,35.27,24.69,4.55,6.03
1955,安徽省,37.15,28.24,3.71,5.2
1954,安徽省,27.76,20.01,3.03,4.72
1953,安徽省,26.99,19.94,2.9,4.15
1952,安徽省,22.88,17.18,2.27,3.43
2013,广东省,62163.97,3047.51,29427.49,29688.97
2012,广东省,57067.92,2847.26,27700.97,26519.69
2011,广东省,53210.28,2665.2,26447.38,24097.7
2010,广东省,46013.06,2286.98,23014.53,20711.55
2009,广东省,39482.56,2010.27,19419.7,18052.59
2008,广东省,36796.71,1970.23,18402.64,15323.59
2007,广东省,31777.01,1695.57,15939.1,13449.73
2006,广东省,26587.76,1577.12,13431.82,11195.53
2005,广东省,22557.37,1428.27,11339.93,9598.34
2004,广东省,18864.62,1245.42,8890.29,5903.75
2003,广东省,15844.64,1093.5191,7307.08,5225.267
2002,广东省,13502.4249,1032.8,5935.63,4801.3
2001,广东省,12039.2536,1004.35,5341.6086,4301.7521
2000,广东省,9662.23,1000.06,4868.75,3793.42
1999,广东省,8464.31,1021.3,4264.32,3178.69
1998,广东省,7919.12,1004.92,3991.97,2922.23
1997,广东省,7315.51,986.82,3647.82,2680.87
1996,广东省,6519.14,941.73,3269.35,2308.06
1995,广东省,5381.72,864.49,2900.22,2168.34
1994,广东省,4240.56,694.65,2139.89,1406.02
1993,广东省,3225.3,558.7,1704.88,1205.7
1992,广东省,2293.54,465.83,1100.32,881.39
1991,广东省,1893.3,416,782.67,694.63
1990,广东省,1559.03,384.59,615.86,558.58
1989,广东省,1381.39,351.73,554.13,475.53
1988,广东省,1155.37,306.5,460.17,388.7
1987,广东省,846.69,232.14,330.35,284.2
1986,广东省,667.53,188.37,255.88,223.28
1985,广东省,577.38,171.87,229.82,175.69
1984,广东省,458.74,145.25,187.55,125.93
1983,广东省,368.75,121.24,152.27,95.24
1982,广东省,339.92,118.17,135.37,86.39
1981,广东省,290.36,94.3,120.34,75.71
1980,广东省,249.65,82.97,102.53,64.14
1979,广东省,209.34,66.62,91.65,51.06
1978,广东省,185.85,55.31,86.62,43.92
1977,广东省,168.9,47.49,79.18,42.23
1976,广东省,156.38,46.55,72.23,37.6
1975,广东省,157.66,48.58,71.75,37.33
1974,广东省,138.2,47.72,58.23,32.25
1973,广东省,128.96,44.51,54.29,30.16
1972,广东省,118.47,43.94,47.44,27.09
1971,广东省,113.23,43.28,45.41,24.54
1970,广东省,112.07,44.09,44.14,23.84
1969,广东省,98.6,39.59,36.56,22.46
1968,广东省,87.29,38.81,28.46,20.02
1967,广东省,95.99,41.82,31.56,22.61
1966,广东省,96.4,41.04,32.81,22.55
1965,广东省,87,37.29,27.83,21.88
1964,广东省,81.63,37.02,24.12,20.49
1963,广东省,81.81,36.78,23.25,21.78
1962,广东省,72.39,31.03,23.16,18.2
1961,广东省,62.18,28.24,18.93,15.01
1960,广东省,72.76,25.5,28.12,19.14
1959,广东省,73.5,27.39,26.68,19.43
1958,广东省,67.09,30.44,19.15,17.5
1957,广东省,58.64,28.84,14.6,15.2
1956,广东省,53.04,27.02,11.69,14.33
1955,广东省,47.59,24.44,10.16,12.99
1954,广东省,46.8,24.35,9.75,12.7
1953,广东省,41.23,21.03,9.26,10.94
1952,广东省,29.52,14.39,6.7,8.43
2013,西藏自治区,807.67,86.82,292.92,427.93
2012,西藏自治区,701.03,80.38,242.85,377.8
